# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
1.820000 5.4461650300e-04 8.1860050000e-02 9.1759533000e-01 5.7893989900e-04 5.3821220000e-02 9.4559984000e-01
1.830000 5.5535024800e-04 8.4641980000e-02 9.1480267000e-01 5.9127714300e-04 5.6405830000e-02 9.4300290000e-01
1.840000 5.6612930000e-04 8.7476800000e-02 9.1195707000e-01 6.0366745000e-04 5.9075440000e-02 9.4032089000e-01
1.850000 5.7694969500e-04 9.0363410000e-02 9.0905964000e-01 6.1610463500e-04 6.1828810000e-02 9.3755509000e-01
1.860000 5.8780803700e-04 9.3301370000e-02 9.0611082000e-01 6.2858351300e-04 6.4665230000e-02 9.3470618000e-01
1.870000 5.9870037800e-04 9.6289610000e-02 9.0311169000e-01 6.4109791800e-04 6.7583310000e-02 9.3177559000e-01
1.880000 6.0962321500e-04 9.9327550000e-02 9.0006283000e-01 6.5364248900e-04 7.0582100000e-02 9.2876425000e-01
1.890000 6.2057268000e-04 1.0241416000e-01 8.9696527000e-01 6.6621124500e-04 7.3660200000e-02 9.2567359000e-01
1.900000 6.3154514500e-04 1.0554867000e-01 8.9381978000e-01 6.7879859200e-04 7.6816330000e-02 9.2250487000e-01
1.910000 6.4253677000e-04 1.0873011000e-01 8.9062735000e-01 6.9139866800e-04 8.0049050000e-02 9.1925955000e-01
1.920000 6.5354388700e-04 1.1195756000e-01 8.8738890000e-01 7.0400583500e-04 8.3356890000e-02 9.1593911000e-01
1.930000 6.6456283500e-04 1.1523016000e-01 8.8410528000e-01 7.1661452400e-04 8.6738400000e-02 9.1254499000e-01
1.940000 6.7558974300e-04 1.1854671000e-01 8.8077770000e-01 7.2921883400e-04 9.0191750000e-02 9.0907903000e-01
1.950000 6.8662109000e-04 1.2190650000e-01 8.7740688000e-01 7.4181347600e-04 9.3715600000e-02 9.0554259000e-01
1.960000 6.9765298000e-04 1.2530816000e-01 8.7399419000e-01 7.5439254400e-04 9.7307830000e-02 9.0193778000e-01
1.970000 7.0868204500e-04 1.2875109000e-01 8.7054022000e-01 7.6695105400e-04 1.0096719000e-01 8.9826586000e-01
1.980000 7.1970429200e-04 1.3223373000e-01 8.6704656000e-01 7.7948300700e-04 1.0469130000e-01 8.9452922000e-01
1.990000 7.3071643600e-04 1.3575546000e-01 8.6351382000e-01 7.9198359900e-04 1.0847879000e-01 8.9072922000e-01
2.000000 7.4171468400e-04 1.3931483000e-01 8.5994345000e-01 8.0444721600e-04 1.1232739000e-01 8.8686817000e-01
2.010000 7.5269555500e-04 1.4291096000e-01 8.5633634000e-01 8.1686883700e-04 1.1623543000e-01 8.8294771000e-01
2.020000 7.6365553600e-04 1.4654255000e-01 8.5269379000e-01 8.2924334300e-04 1.2020070000e-01 8.7897005000e-01
2.030000 7.7459120100e-04 1.5020860000e-01 8.4901681000e-01 8.4156584500e-04 1.2422139000e-01 8.7493705000e-01
2.040000 7.8549906900e-04 1.5390788000e-01 8.4530662000e-01 8.5383138900e-04 1.2829539000e-01 8.7085078000e-01
2.050000 7.9637580500e-04 1.5763923000e-01 8.4156439000e-01 8.6603529100e-04 1.3242061000e-01 8.6671336000e-01
2.060000 8.0721788900e-04 1.6140113000e-01 8.3779165000e-01 8.7817262000e-04 1.3659458000e-01 8.6252725000e-01
2.070000 8.1802203900e-04 1.6519239000e-01 8.3398959000e-01 8.9023886100e-04 1.4081522000e-01 8.5829454000e-01
2.080000 8.2878509800e-04 1.6901180000e-01 8.3015942000e-01 9.0222973600e-04 1.4508038000e-01 8.5401739000e-01
2.090000 8.3950390300e-04 1.7285816000e-01 8.2630234000e-01 9.1414099300e-04 1.4938793000e-01 8.4969793000e-01
2.100000 8.5017537100e-04 1.7673029000e-01 8.2241954000e-01 9.2596853400e-04 1.5373580000e-01 8.4533823000e-01
2.110000 8.6079646600e-04 1.8062694000e-01 8.1851226000e-01 9.3770842400e-04 1.5812179000e-01 8.4094051000e-01
2.120000 8.7136428800e-04 1.8454693000e-01 8.1458171000e-01 9.4935690100e-04 1.6254380000e-01 8.3650684000e-01
2.130000 8.8187590000e-04 1.8848906000e-01 8.1062907000e-01 9.6091022900e-04 1.6699976000e-01 8.3203933000e-01
2.140000 8.9232855300e-04 1.9245210000e-01 8.0665557000e-01 9.7236500000e-04 1.7148750000e-01 8.2754014000e-01
2.150000 9.0271947900e-04 1.9643486000e-01 8.0266242000e-01 9.8371779900e-04 1.7600494000e-01 8.2301135000e-01
2.160000 9.1304597600e-04 2.0043615000e-01 7.9865080000e-01 9.9496535100e-04 1.8055004000e-01 8.1845500000e-01
2.170000 9.2330552700e-04 2.0445476000e-01 7.9462194000e-01 1.0061047100e-03 1.8512068000e-01 8.1387322000e-01
2.180000 9.3349558000e-04 2.0848950000e-01 7.9057700000e-01 1.0171328800e-03 1.8971484000e-01 8.0926803000e-01
2.190000 9.4361365700e-04 2.1253923000e-01 7.8651716000e-01 1.0280470500e-03 1.9433053000e-01 8.0464142000e-01
2.200000 9.5365750600e-04 2.1660273000e-01 7.8244361000e-01 1.0388447400e-03 1.9896571000e-01 7.9999544000e-01
2.210000 9.6362473200e-04 2.2067885000e-01 7.7835752000e-01 1.0495233400e-03 2.0361843000e-01 7.9533205000e-01
2.220000 9.7351315900e-04 2.2476647000e-01 7.7426001000e-01 1.0600805200e-03 2.0828678000e-01 7.9065314000e-01
2.230000 9.8332073700e-04 2.2886442000e-01 7.7015226000e-01 1.0705142300e-03 2.1296880000e-01 7.8596068000e-01
2.240000 9.9304537800e-04 2.3297157000e-01 7.6603538000e-01 1.0808223500e-03 2.1766264000e-01 7.8125653000e-01
2.250000 1.0026850700e-03 2.3708684000e-01 7.6191048000e-01 1.0910029100e-03 2.2236650000e-01 7.7654250000e-01
2.260000 1.0122380400e-03 2.4120907000e-01 7.5777869000e-01 1.1010543200e-03 2.2707850000e-01 7.7182044000e-01
2.270000 1.0217024300e-03 2.4533722000e-01 7.5364108000e-01 1.1109748800e-03 2.3179691000e-01 7.6709211000e-01
2.280000 1.0310764700e-03 2.4947022000e-01 7.4949870000e-01 1.1207630300e-03 2.3652004000e-01 7.6235920000e-01
2.290000 1.0403586400e-03 2.5360698000e-01 7.4535267000e-01 1.1304176000e-03 2.4124612000e-01 7.5762347000e-01
2.300000 1.0495473500e-03 2.5774648000e-01 7.4120397000e-01 1.1399373300e-03 2.4597354000e-01 7.5288652000e-01
2.310000 1.0586409900e-03 2.6188770000e-01 7.3705365000e-01 1.1493209300e-03 2.5070071000e-01 7.4814996000e-01
2.320000 1.0676383500e-03 2.6602963000e-01 7.3290273000e-01 1.1585677500e-03 2.5542603000e-01 7.4341541000e-01
2.330000 1.0765380400e-03 2.7017128000e-01 7.2875218000e-01 1.1676768000e-03 2.6014797000e-01 7.3868435000e-01
2.340000 1.0853387400e-03 2.7431170000e-01 7.2460296000e-01 1.1766472900e-03 2.6486511000e-01 7.3395824000e-01
2.350000 1.0940394300e-03 2.7844991000e-01 7.2045605000e-01 1.1854788100e-03 2.6957593000e-01 7.2923859000e-01
2.360000 1.1026389500e-03 2.8258500000e-01 7.1631236000e-01 1.1941707800e-03 2.7427907000e-01 7.2452676000e-01
2.370000 1.1111362100e-03 2.8671608000e-01 7.1217279000e-01 1.2027227000e-03 2.7897321000e-01 7.1982407000e-01
2.380000 1.1195304400e-03 2.9084221000e-01 7.0803826000e-01 1.2111345400e-03 2.8365698000e-01 7.1513188000e-01
2.390000 1.1278206900e-03 2.9496255000e-01 7.0390963000e-01 1.2194060100e-03 2.8832915000e-01 7.1045144000e-01
2.400000 1.1371904200e-03 2.9876690000e-01 7.0009591000e-01 1.2292855100e-03 2.9251652000e-01 7.0625419000e-01
2.410000 1.1465044900e-03 3.0255859000e-01 6.9629490000e-01 1.2390882700e-03 2.9669148000e-01 7.0206944000e-01
