# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
2.250000 6.5984361800e-04 3.1571875000e-01 6.8362140000e-01 6.6016968100e-04 3.1702065000e-01 6.8231918000e-01
2.260000 6.6514957600e-04 3.1892912000e-01 6.8040573000e-01 6.6557939300e-04 3.2020719000e-01 6.7912723000e-01
2.270000 6.7040900000e-04 3.2212456000e-01 6.7720503000e-01 6.7094369600e-04 3.2338109000e-01 6.7594796000e-01
2.280000 6.7562156700e-04 3.2530476000e-01 6.7401962000e-01 6.7626212700e-04 3.2654205000e-01 6.7278169000e-01
2.290000 6.8078726400e-04 3.2846947000e-01 6.7084974000e-01 6.8153452700e-04 3.2968981000e-01 6.6962866000e-01
2.300000 6.8590583200e-04 3.3161844000e-01 6.6769566000e-01 6.8676050200e-04 3.3282408000e-01 6.6648916000e-01
2.310000 6.9097696500e-04 3.3475137000e-01 6.6455765000e-01 6.9193961200e-04 3.3594459000e-01 6.6336347000e-01
2.320000 6.9600077800e-04 3.3786810000e-01 6.6143590000e-01 6.9707183000e-04 3.3905111000e-01 6.6025181000e-01
2.330000 7.0097704400e-04 3.4096838000e-01 6.5833064000e-01 7.0215679700e-04 3.4214341000e-01 6.5715444000e-01
2.340000 7.0590557500e-04 3.4405200000e-01 6.5524209000e-01 7.0719419400e-04 3.4522123000e-01 6.5407158000e-01
2.350000 7.1078649900e-04 3.4711880000e-01 6.5217041000e-01 7.1218401500e-04 3.4828440000e-01 6.5100342000e-01
2.360000 7.1561966900e-04 3.5016859000e-01 6.4911579000e-01 7.1712598600e-04 3.5133269000e-01 6.4795018000e-01
2.370000 7.2040495200e-04 3.5320119000e-01 6.4607841000e-01 7.2201984900e-04 3.5436591000e-01 6.4491207000e-01
2.380000 7.2514254000e-04 3.5621648000e-01 6.4305838000e-01 7.2686566700e-04 3.5738390000e-01 6.4188924000e-01
2.390000 7.2983233700e-04 3.5921432000e-01 6.4005585000e-01 7.3166322400e-04 3.6038648000e-01 6.3888186000e-01
2.400000 7.3598166500e-04 3.6243624000e-01 6.3682778000e-01 7.3789115300e-04 3.6360002000e-01 6.3566209000e-01
2.410000 7.4210106000e-04 3.6564252000e-01 6.3361538000e-01 7.4408996900e-04 3.6679857000e-01 6.3245734000e-01
